GENEID	R1_H1975.bam	R2_H1975.bam	R3_H1975.bam	R1_HCC827.bam	R2_HCC827.bam	R3_HCC827.bam
BambuGene18799	5	2	10	3	2	2
BambuGene18822	1	5	2	0	0	0
BambuGene18834	0	1	0	7	4	6
BambuGene1884	10	11	13	2	3	4
BambuGene18848	2	7	2	3	1	0
BambuGene18858	107	105	96	41	12	13
BambuGene18934	32	17	20	1	0	1
BambuGene18996	5	3	6	0	0	0
BambuGene19059	0	0	1	36	14	30
BambuGene19089	8	1	5	15	13	7
BambuGene19233	77	49	69	73	42	53
BambuGene19278	1	1	5	0	0	0
BambuGene19296	72	52	70	0	0	0
BambuGene1930	8	8	4	12	4	2
BambuGene1933	0	0	0	5	0	0
BambuGene19566	1038	880	908	0	0	0
BambuGene19606	13	4	7	0	0	1
BambuGene19646	9	7	8	0	0	0
BambuGene1966	4	11	2	2	2	1
BambuGene19695	4	4	1	0	0	0
BambuGene19706	0	5	5	7	1	2
BambuGene19736	1	0	0	1	5	0
BambuGene19753	10	12	14	80	62	63
BambuGene19827	15	13	8	0	0	0
BambuGene19951	18	19	23	3	13	9
BambuGene19966	72	93	68	35	35	19
BambuGene19970	65	45	54	19	12	16
BambuGene19986	6	0	8	5	0	0
BambuGene20053	3	1	5	0	0	0
BambuGene20084	6	7	11	0	2	1
BambuGene20086	1	1	4	2	0	0
BambuGene20175	4	0	1	0	0	0
BambuGene20181	1	0	0	58	21	52
BambuGene2019	9	7	4	7	0	1
BambuGene20259	0	0	0	13	7	16
BambuGene20263	0	1	0	4658	3138	3492
BambuGene20319	15	9	15	15	8	8
BambuGene20355	0	0	0	2	3	4
BambuGene20362	18	10	5	19	18	25
BambuGene20364	7	16	11	21	16	10
BambuGene20385	2	3	1	9	2	9
BambuGene20480	63	50	43	101	753	215
BambuGene20570	9	8	10	6	7	5
BambuGene20628	1	1	1	6	0	4
BambuGene20636	88	107	96	0	0	0
BambuGene2066	4	4	2	0	0	0
BambuGene20830	25	18	25	0	0	0
BambuGene20851	0	3	0	1	0	0
BambuGene20896	3	2	4	0	0	0
BambuGene20971	5	0	1	0	0	1
BambuGene20994	1	4	3	0	1	1
BambuGene21006	0	2	22	21	0	10
BambuGene21094	33	16	29	0	3	0
BambuGene21135	13	17	11	7	3	5
BambuGene21186	62	63	59	0	0	1
BambuGene21351	0	0	0	2	2	7
BambuGene21353	55	17	44	125	120	50
BambuGene21419	30	43	26	0	0	0
BambuGene21460	20	17	14	3	1	0
BambuGene21517	0	0	0	47	31	30
BambuGene21526	11	9	9	2	0	1
BambuGene21534	10	12	10	23	3	15
BambuGene21561	8	116	107	29	20	42
BambuGene21573	10	3	10	4	59	6
BambuGene21575	22	25	11	38	25	3
BambuGene21606	17	13	18	0	2	2
BambuGene21619	0	0	0	19	5	6
BambuGene21676	3	3	5	1	3	3
BambuGene21708	0	0	0	5	0	1
BambuGene21712	31	30	18	10	23	3
BambuGene21815	18	12	25	0	0	0
BambuGene21827	1	3	1	0	0	0
BambuGene21832	23	13	28	32	23	29
BambuGene2188	21	23	15	41	38	37
BambuGene21885	2	0	3	1	2	5
BambuGene21907	22	18	20	21	9	6
BambuGene21922	1	2	0	6	3	3
BambuGene21934	0	0	0	31	19	20
BambuGene22036	17	9	7	1	0	0
BambuGene22039	4	6	3	0	0	0
BambuGene22045	0	0	0	115	88	102
BambuGene2206	12	14	6	1	0	0
BambuGene22067	130	108	108	157	103	102
BambuGene22076	560	645	561	42	27	33
BambuGene22084	60	44	43	132	100	66
BambuGene22087	74	56	70	98	46	70
BambuGene22094	129	135	129	48	35	41
BambuGene22106	238	221	221	25	12	27
BambuGene22120	72	74	57	40	21	22
BambuGene22126	18	19	20	79	44	36
BambuGene22131	2	5	5	0	0	0
BambuGene22133	85	84	83	0	0	0
BambuGene22149	0	1	1	6	10	2
BambuGene22201	61	53	44	46	21	31
BambuGene22204	14	7	7	20	13	8
BambuGene22210	14	13	6	25	10	7
BambuGene22212	341	291	347	224	114	121
BambuGene22272	215	183	193	81	66	58
BambuGene22285	2	1	0	13	11	7
BambuGene22306	133	118	111	40	14	25
BambuGene2415	0	0	0	9	3	9
BambuGene245	0	0	4	0	0	0
BambuGene2510	9	7	4	3	5	1
BambuGene2629	2337	2747	2915	6	4	13
BambuGene2796	3	6	2	0	0	0
BambuGene2813	0	5	1	0	0	0
BambuGene2841	12	3	7	0	0	0
BambuGene2917	2	3	7	0	0	0
BambuGene2922	163	122	148	1	0	0
BambuGene3008	50	25	24	50	36	38
BambuGene33	21	27	28	0	0	0
BambuGene3306	8	6	4	0	0	0
BambuGene35	3	5	3	0	0	0
BambuGene3599	45	35	59	122	165	66
BambuGene3715	8	14	14	0	1	0
BambuGene3746	4	6	0	0	0	0
BambuGene3755	9	21	20	7	0	0
BambuGene3759	26	22	24	0	0	0
BambuGene3851	288	217	245	105	49	64
BambuGene3879	0	0	0	51	10	19
BambuGene3905	1	2	0	8	1	4
BambuGene3936	1	1	0	3	0	3
BambuGene3938	5	11	9	0	0	0
BambuGene3977	4	2	5	0	0	0
BambuGene4093	0	0	0	9	9	6
BambuGene4110	5	8	4	0	1	0
BambuGene4193	5	3	3	5	2	10
BambuGene4259	5	7	7	23	20	21
BambuGene4290	4	14	24	19	3	9
BambuGene4292	61	42	37	0	0	0
BambuGene4324	6	2	4	27	20	20
BambuGene4477	1082	938	1046	1369	2538	1218
BambuGene450	18	12	13	27	27	28
BambuGene4569	0	0	0	13	8	7
BambuGene4582	14	15	19	48	21	35
BambuGene4625	2	0	0	0	0	0
BambuGene4631	87	65	63	0	0	0
BambuGene4686	28	10	29	0	0	0
BambuGene4720	21	11	15	0	0	0
BambuGene4792	0	0	0	3	6	0
BambuGene4797	49	51	52	0	0	0
BambuGene485	29	23	25	25	13	24
BambuGene5086	0	0	4	3	6	6
BambuGene5096	0	2	2	5	3	7
BambuGene5099	0	1	5	2	0	0
BambuGene5159	0	0	0	2	0	3
BambuGene5270	0	0	0	22	14	16
BambuGene5322	15	5	6	13	4	7
BambuGene5393	152	108	129	81	67	82
BambuGene5429	3	3	4	15	2	9
BambuGene5441	3	3	2	7	7	3
BambuGene5468	29	13	29	7	3	2
BambuGene551	5	3	2	7	1	1
BambuGene5573	21	27	37	1	3	0
BambuGene5575	0	0	1	13	9	16
BambuGene5620	249	186	165	95	74	78
BambuGene5639	0	1	2	7	8	7
BambuGene5713	43	58	52	153	76	87
BambuGene5760	48	50	52	0	3	0
BambuGene5775	8	1	3	0	0	0
BambuGene5842	12	13	12	1	1	0
BambuGene591	50	23	25	55	25	33
BambuGene5942	5	2	0	5	1	7
BambuGene6169	0	0	0	6	4	12
BambuGene6244	9	7	8	1	0	1
BambuGene6265	0	0	0	7	2	6
BambuGene6392	6	1	0	0	0	1
BambuGene6447	0	5	3	2	0	4
BambuGene6489	10	2	2	0	2	1
BambuGene6529	54	45	43	165	209	110
BambuGene6647	1	1	5	0	0	0
BambuGene6665	0	5	1	5	8	0
BambuGene687	14	8	12	3	0	1
BambuGene6987	6	1	0	1	4	0
BambuGene6997	5	8	5	10	3	6
BambuGene7019	8	13	13	11	13	3
BambuGene7023	0	0	0	6	5	2
BambuGene7123	0	1	0	4	4	4
BambuGene7164	38	17	32	20	32	9
BambuGene7223	42	34	35	19	94	66
BambuGene735	122	100	85	105	47	14
BambuGene7478	76	70	64	87	74	57
BambuGene7634	27	31	28	0	0	0
BambuGene7643	3	6	0	1	0	0
BambuGene7651	17	13	10	21	7	10
BambuGene7821	12	12	13	2	1	2
BambuGene791	0	0	1	1	1	4
BambuGene7936	59	53	60	2	4	2
BambuGene7971	22	9	3	10	2	11
BambuGene8047	4	2	2	0	0	0
BambuGene809	6	8	8	2	2	3
BambuGene8381	6	2	1	0	0	0
BambuGene8417	90	82	70	1	2	0
BambuGene8497	7	4	0	18	22	19
BambuGene8510	23	8	14	2	2	0
BambuGene8639	6	4	4	0	0	1
BambuGene8684	33	20	30	3	0	2
BambuGene8796	6	5	1	8	7	6
BambuGene8805	5	6	4	2	1	2
BambuGene8828	5	3	6	1	0	0
BambuGene8942	0	0	1	7	2	11
BambuGene8947	113	91	67	91	65	102
BambuGene8988	2	1	4	0	0	0
BambuGene9055	13	16	6	15	10	6
BambuGene9099	39	23	43	22	16	12
BambuGene9146	531	421	426	12	4	0
BambuGene9319	4	1	2	2	1	1
BambuGene9373	6	9	9	0	2	2
BambuGene9391	2	2	1	5	4	1
BambuGene9402	43	31	47	0	0	0
BambuGene9407	8	4	4	0	0	0
BambuGene9435	25	28	17	0	0	0
BambuGene9520	48	39	41	0	0	0
BambuGene9546	4	5	3	0	0	0
BambuGene962	13	1	5	0	0	1
BambuGene9657	4	0	1	6	1	0
BambuGene9670	154	172	165	288	561	203
BambuGene9690	26	11	26	28	5	8
BambuGene9781	2873	2956	3106	12	4	8
BambuGene9788	1	2	0	5	3	1
BambuGene986	4	1	1	2	1	1
BambuGene9891	7	5	6	0	2	1
BambuGene9964	3	1	4	31	57	13
ENSG00000000003	1040	1073	993	1720	944	1722
ENSG00000000005	0	0	0	0	0	1
ENSG00000000419	60	50	76.00001	41.00001	34.99999	24
ENSG00000000457	68	59	49	39	36	27
ENSG00000000460	36	32	29	101	87	76
ENSG00000000938	0	0	2	0	3	0
ENSG00000000971	135	120	128	32	32	44
ENSG00000001036	1693	1719	1432	1408	1077	1285
ENSG00000001084	67	46	66.99999	32	10	43
ENSG00000001167	239	236	210	101	54	67
ENSG00000001460	188	179	162.99999	102	95	74.99999
ENSG00000001461	416	428.00001	409.99999	449.00001	458	295.00001
ENSG00000001497	1253	1163.99998	1077.00001	1854.99999	1794	1777.00001
ENSG00000001561	2	0	0	2	1	3
ENSG00000001617	15	16.99999	15.99999	0.99999	6.99999	5.00001
ENSG00000001626	1	0	0	1	0	1
ENSG00000001629	159	128	142	51	66	30
ENSG00000001630	604	691.99999	726	355.00001	165	236
ENSG00000001631	583.99999	399	496.00001	223.99999	173.99999	156
ENSG00000002016	45	62	62.99999	72	59.99999	59
ENSG00000002079	1	5	1	0	1	0
ENSG00000002330	142	126	137	206	524	175.00001
ENSG00000002549	1331	1318	1264.99999	1104.99999	582	961
ENSG00000002586	2487	2261.00001	2137.00001	1745.99998	1736	1645
ENSG00000002587	90	102	96	334	194	312
ENSG00000002726	31	17	23	57	76	61
ENSG00000002745	1	0	0	3	1	4
ENSG00000002746	45	49	37	4	3	1
ENSG00000002822	129.00001	130.99999	126	143	257	133
ENSG00000002834	1526	1473	1475	2792	3318	2511
ENSG00000002919	494.99999	571.00001	651	676.99999	571	643.99999
ENSG00000002933	1	0	0	0	0	3
ENSG00000003056	3174	3784	3802.00001	3675	2204.99999	3590
ENSG00000003096	6	7	3	3	0	1
ENSG00000003137	20	13	27	0	0	0
ENSG00000003147	127	108.00001	114	962	589.99998	590
ENSG00000003249	101	60	65	520	804	464.00001
ENSG00000003393	123.00001	93	109.00001	50	39	47
ENSG00000003400	62	74	62	93	69	60
ENSG00000003402	1702.99999	1867	1985.00002	1031	1078	806.99999
ENSG00000003436	862	540	643	344	313	248
ENSG00000003509	303.99999	304.00001	251.00001	142	87	141
ENSG00000003756	520	476	412	405	398.00001	373.99999
ENSG00000003989	2	0	2	17	10.00001	11
ENSG00000004059	7862	7643	6526	6354.00001	6219	6013
ENSG00000004139	10	16	4	34	23	21
ENSG00000004142	1203	1408	1252	1032	1331	965
ENSG00000004399	39	38	37	159	306	138
ENSG00000004455	4310.99998	4190.99998	4178.00001	4176.99999	2683	3806.99999
ENSG00000004468	1	1	1	2	1	0
ENSG00000004478	1140	1210	1062	2899	3655	2709
ENSG00000004487	1064	1003	1168	1451	1363.99999	1300.99998
ENSG00000004534	525.99999	561	625.99999	311	298.00002	198
ENSG00000004660	21	6	8	56	80	25
ENSG00000004700	137	115	123	34	63	26.00002
ENSG00000004766	38	44	41	8	9	10
ENSG00000004776	483	401	347	2	0	5
ENSG00000004777	12	3.00001	8	18	14.00001	6.99999
ENSG00000004779	7428	6283	6230	5012	2815.00001	3579
ENSG00000004799	5	3	2	1	0	5
ENSG00000004809	1	0	0	0	0	0
ENSG00000004838	55	51	37	69	91	100
ENSG00000004848	5	6	4	0	0	0
ENSG00000004864	524	529	426	301	303.00001	229
ENSG00000004866	299.99999	235	237.99999	128	117.99999	124
ENSG00000004897	160	124	130	59	35	37
ENSG00000004939	2	3	2	0	2	0
ENSG00000004948	2	4	0	0	0	0
ENSG00000004961	665.00001	717.99999	631.99999	326	297	343
ENSG00000004975	292	243	274	390	1304	325.00001
ENSG00000005001	250	234	256	149	174	143
ENSG00000005007	407	290	417	548.99999	727.00001	370
ENSG00000005020	1364	1124	1175	1063	1123	564
ENSG00000005022	14731	13107	11388	31802.99999	16375	27234
ENSG00000005059	707	812	729	257	116	228
ENSG00000005073	3	2	2	10	9	5
ENSG00000005075	7573	6608	6327	5740	3367	4792
ENSG00000005100	229	182	180.99999	335.99999	508.99999	147.99999
ENSG00000005102	0	0	0	1	3	4
ENSG00000005108	30	38	28	2	1	1
ENSG00000005156	144	150.99999	138	191.00001	214	212.99999
ENSG00000005175	232	199	200	203	238	149
ENSG00000005187	62.99999	64	63.00001	186.00001	98	156
ENSG00000005189	66	45	60	22	38	24
ENSG00000005194	1477.99999	1522	1606	2072	1827	2286.99999
ENSG00000005206	73	60	64	53	163	43
ENSG00000005238	77	58	65	73	72	63
ENSG00000005243	287.99999	249	214.99999	45	52.00001	53
ENSG00000005249	0	1	3	0	0	0
ENSG00000005302	569.00001	485	513	283	185.99999	182.99998
ENSG00000005339	489	329	411	293	233	130
ENSG00000005379	5	4	8.00001	6	5.99999	5
ENSG00000005381	0	0	0	5	7	2
ENSG00000005421	0	0	1	0	0	1
ENSG00000005436	115	150	162	102	36	94
ENSG00000005448	1917	1686.99999	1635	4604.99999	4589.99999	4047.99998
ENSG00000005469	93	82.99999	62	18	27	19
ENSG00000005471	3	0	1	1	2	1
ENSG00000005483	615.99999	635.99999	564	230	125.99998	164
ENSG00000005486	1492.00001	1406	1439.00001	1889	1998.00001	1974.99999
ENSG00000005700	68	66.00001	58	22	30	13
ENSG00000005801	262.00001	251	312.00001	170	122.99999	131.99999
ENSG00000005810	45.99999	59	48.00001	39	39.00001	27.00001
ENSG00000005812	22	24	23	8	6	6
ENSG00000005844	6	3	2	0	0	1
ENSG00000005882	457.99999	436	383.99999	725.99999	742	763
ENSG00000005884	4862	4950	5356	5595	8678	4704
ENSG00000005889	134.99999	148	147	71.99999	55	41.00001
ENSG00000005893	2627	2601	2495	1012.99999	337	1026
ENSG00000005961	25	15	27	6	2	2
ENSG00000005981	2	1	0	1	0	0
ENSG00000006007	769	741	677	669	565	432
ENSG00000006015	80	76.00001	73	350	402.00001	240
ENSG00000006016	17	15	8	13.00001	8	7
ENSG00000006025	41	35	22	160	494	140
ENSG00000006042	43	54	46	5	3	5
ENSG00000006047	44	49	43	209	294	146
ENSG00000006059	0	0	3	0	0	0
ENSG00000006062	39	35	26	60	48	33
ENSG00000006071	0.99999	0	0	0	1	0
ENSG00000006116	5	1	3	0	0	0
ENSG00000006118	132	126	156	125	215	104
ENSG00000006125	3043.99999	2706.99999	2842.99999	2747.99999	3783.99999	1814
ENSG00000006194	101	85.99999	103.99999	92	108.99999	69.00001
ENSG00000006210	938	751	1058	952	1104	915
ENSG00000006282	594.00001	476	555	1261.99999	1482	1174
ENSG00000006283	0	0	0.99999	1	4	6
ENSG00000006327	3659	4285.99999	4440.99999	4261.00001	4167	3728.00001
ENSG00000006377	0	0	0	3	9	7
ENSG00000006432	177	142.99999	155	332	439	112
ENSG00000006451	3460	3725	3642	1389.00001	904	1061
ENSG00000006453	2021	1837	1896	1290	1110	961
ENSG00000006459	16	11	14	1	6	1
ENSG00000006468	38	25	40	26	35	18
ENSG00000006530	292	256	283	155	82	126.99999
ENSG00000006534	1220	1217	1236.99999	1849	2722.99999	1822
ENSG00000006555	62	49	58	72	50	70
